"age","predictor2","log_FQ","LD","DD","PKC"
"18","log_FQ",NA,0.970290391150197,0.889600118312699,-0.119826323239004
"18","LD",0.970290391150197,NA,0.947710197894923,-0.124388590871383
"18","DD",0.889600118312699,0.947710197894923,NA,-0.20869306478793
"18","PKC",-0.119826323239004,-0.124388590871383,-0.20869306478793,NA
"21","log_FQ",NA,0.976608382345401,0.899039673069651,-0.0784232342366522
"21","LD",0.976608382345401,NA,0.939665219697986,-0.0748282574244527
"21","DD",0.899039673069651,0.939665219697986,NA,-0.180752899681494
"21","PKC",-0.0784232342366522,-0.0748282574244527,-0.180752899681494,NA
"24","log_FQ",NA,0.983145438753777,0.910069176121302,-0.0858455636082272
"24","LD",0.983145438753777,NA,0.922755994988828,-0.0695425112373389
"24","DD",0.910069176121302,0.922755994988828,NA,-0.208260539206234
"24","PKC",-0.0858455636082272,-0.0695425112373389,-0.208260539206234,NA
"27","log_FQ",NA,0.983556817391242,0.91605509984998,-0.0503251488626872
"27","LD",0.983556817391242,NA,0.913960412926333,-0.0290722626920397
"27","DD",0.91605509984998,0.913960412926333,NA,-0.172821938069046
"27","PKC",-0.0503251488626872,-0.0290722626920397,-0.172821938069046,NA
"30","log_FQ",NA,0.982143200875705,0.918782697236141,-0.0532240749146267
"30","LD",0.982143200875705,NA,0.89783622932173,-0.0368345884981155
"30","DD",0.918782697236141,0.89783622932173,NA,-0.166043556768522
"30","PKC",-0.0532240749146267,-0.0368345884981155,-0.166043556768522,NA
