"age","predictor2","log_FQ","LD","DD","PKC"
"16","log_FQ",NA,0.960237757104239,0.879485466738661,0.0271335094809717
"16","LD",0.960237757104239,NA,0.954151552792863,-0.0334549322591835
"16","DD",0.879485466738661,0.954151552792863,NA,-0.131790549589832
"16","PKC",0.0271335094809717,-0.0334549322591835,-0.131790549589832,NA
"17","log_FQ",NA,0.965146454194175,0.884777166687046,-0.0630443220854394
"17","LD",0.965146454194175,NA,0.952088655383667,-0.0832558201300307
"17","DD",0.884777166687046,0.952088655383667,NA,-0.177261329353101
"17","PKC",-0.0630443220854394,-0.0832558201300307,-0.177261329353101,NA
"18","log_FQ",NA,0.970290391150197,0.889600118312699,-0.119826323239004
"18","LD",0.970290391150197,NA,0.947710197894923,-0.124388590871383
"18","DD",0.889600118312699,0.947710197894923,NA,-0.20869306478793
"18","PKC",-0.119826323239004,-0.124388590871383,-0.20869306478793,NA
"19","log_FQ",NA,0.971717919840585,0.892017545908157,-0.101040481578361
"19","LD",0.971717919840585,NA,0.945103908474256,-0.102700611758965
"19","DD",0.892017545908157,0.945103908474256,NA,-0.1967537308503
"19","PKC",-0.101040481578361,-0.102700611758965,-0.1967537308503,NA
"20","log_FQ",NA,0.975410055042923,0.89639146280111,-0.0932290349744735
"20","LD",0.975410055042923,NA,0.941796888030442,-0.0871906618955058
"20","DD",0.89639146280111,0.941796888030442,NA,-0.187726825148819
"20","PKC",-0.0932290349744735,-0.0871906618955058,-0.187726825148819,NA
"21","log_FQ",NA,0.976608382345401,0.899039673069651,-0.0784232342366522
"21","LD",0.976608382345401,NA,0.939665219697986,-0.0748282574244527
"21","DD",0.899039673069651,0.939665219697986,NA,-0.180752899681494
"21","PKC",-0.0784232342366522,-0.0748282574244527,-0.180752899681494,NA
"22","log_FQ",NA,0.979546989013835,0.90327060597189,-0.0541921586601642
"22","LD",0.979546989013835,NA,0.935368771767354,-0.0512205658377552
"22","DD",0.90327060597189,0.935368771767354,NA,-0.177437478583291
"22","PKC",-0.0541921586601642,-0.0512205658377552,-0.177437478583291,NA
"23","log_FQ",NA,0.980652392299836,0.904701135423153,-0.0570814180846282
"23","LD",0.980652392299836,NA,0.930229954471529,-0.0516720872780575
"23","DD",0.904701135423153,0.930229954471529,NA,-0.181831731841092
"23","PKC",-0.0570814180846282,-0.0516720872780575,-0.181831731841092,NA
"24","log_FQ",NA,0.983145438753777,0.910069176121302,-0.0858455636082272
"24","LD",0.983145438753777,NA,0.922755994988828,-0.0695425112373389
"24","DD",0.910069176121302,0.922755994988828,NA,-0.208260539206234
"24","PKC",-0.0858455636082272,-0.0695425112373389,-0.208260539206234,NA
"25","log_FQ",NA,0.983540777468099,0.911919012255766,-0.0793749363215251
"25","LD",0.983540777468099,NA,0.919343506848428,-0.060433453149115
"25","DD",0.911919012255766,0.919343506848428,NA,-0.201942499231107
"25","PKC",-0.0793749363215251,-0.060433453149115,-0.201942499231107,NA
"26","log_FQ",NA,0.983441110981877,0.913712073567645,-0.0369542151010918
"26","LD",0.983441110981877,NA,0.916838622384979,-0.0172200598393647
"26","DD",0.913712073567645,0.916838622384979,NA,-0.16122717310364
"26","PKC",-0.0369542151010918,-0.0172200598393647,-0.16122717310364,NA
"27","log_FQ",NA,0.983556817391242,0.91605509984998,-0.0503251488626872
"27","LD",0.983556817391242,NA,0.913960412926333,-0.0290722626920397
"27","DD",0.91605509984998,0.913960412926333,NA,-0.172821938069046
"27","PKC",-0.0503251488626872,-0.0290722626920397,-0.172821938069046,NA
"28","log_FQ",NA,0.983279434681098,0.916755541824847,-0.0647625863887662
"28","LD",0.983279434681098,NA,0.908040595040305,-0.0447425050209053
"28","DD",0.916755541824847,0.908040595040305,NA,-0.178512523354602
"28","PKC",-0.0647625863887662,-0.0447425050209053,-0.178512523354602,NA
"29","log_FQ",NA,0.982556584944648,0.91948071464149,-0.0606203744789174
"29","LD",0.982556584944648,NA,0.904267175549227,-0.0378248609239739
"29","DD",0.91948071464149,0.904267175549227,NA,-0.172976529177519
"29","PKC",-0.0606203744789174,-0.0378248609239739,-0.172976529177519,NA
"30","log_FQ",NA,0.982143200875705,0.918782697236141,-0.0532240749146267
"30","LD",0.982143200875705,NA,0.89783622932173,-0.0368345884981155
"30","DD",0.918782697236141,0.89783622932173,NA,-0.166043556768522
"30","PKC",-0.0532240749146267,-0.0368345884981155,-0.166043556768522,NA
