"predictor","age1","age2","correlation"
"MCDIp","16","16",1
"MCDIp","16","17",0.972048130984851
"MCDIp","16","18",0.947169802644717
"MCDIp","16","19",0.914661548103447
"MCDIp","16","20",0.903165475446743
"MCDIp","16","21",0.858564985974403
"MCDIp","16","22",0.810539518390745
"MCDIp","16","23",0.785841568111193
"MCDIp","16","24",0.746048946636981
"MCDIp","16","25",0.715372371903624
"MCDIp","16","26",0.69919045461405
"MCDIp","16","27",0.678332852709838
"MCDIp","16","28",0.590554724444584
"MCDIp","16","29",0.629623220002344
"MCDIp","16","30",0.543745662675339
"MCDIp","17","16",0.972048130984851
"MCDIp","17","17",1
"MCDIp","17","18",0.968117355951107
"MCDIp","17","19",0.94941028972376
"MCDIp","17","20",0.940084315682955
"MCDIp","17","21",0.906394038713214
"MCDIp","17","22",0.864389984070786
"MCDIp","17","23",0.84507428790826
"MCDIp","17","24",0.799548288362411
"MCDIp","17","25",0.770844792432815
"MCDIp","17","26",0.749134176831471
"MCDIp","17","27",0.734527969471355
"MCDIp","17","28",0.638308932803061
"MCDIp","17","29",0.689741654687046
"MCDIp","17","30",0.597176416088746
"MCDIp","18","16",0.947169802644717
"MCDIp","18","17",0.968117355951107
"MCDIp","18","18",1
"MCDIp","18","19",0.987992423319893
"MCDIp","18","20",0.982907347020994
"MCDIp","18","21",0.960752662547341
"MCDIp","18","22",0.932608713703287
"MCDIp","18","23",0.917109458364479
"MCDIp","18","24",0.886652467966786
"MCDIp","18","25",0.861651559172531
"MCDIp","18","26",0.839315304824807
"MCDIp","18","27",0.825976381952646
"MCDIp","18","28",0.741612377461493
"MCDIp","18","29",0.779110474560123
"MCDIp","18","30",0.698213749639176
"MCDIp","19","16",0.914661548103447
"MCDIp","19","17",0.94941028972376
"MCDIp","19","18",0.987992423319893
"MCDIp","19","19",1
"MCDIp","19","20",0.990389547136675
"MCDIp","19","21",0.979448592742577
"MCDIp","19","22",0.95817659549072
"MCDIp","19","23",0.947194254867193
"MCDIp","19","24",0.922221600271556
"MCDIp","19","25",0.900758330962568
"MCDIp","19","26",0.880012660673431
"MCDIp","19","27",0.868607235893386
"MCDIp","19","28",0.791207366316906
"MCDIp","19","29",0.825861066012042
"MCDIp","19","30",0.749787524615319
"MCDIp","20","16",0.903165475446743
"MCDIp","20","17",0.940084315682955
"MCDIp","20","18",0.982907347020994
"MCDIp","20","19",0.990389547136675
"MCDIp","20","20",1
"MCDIp","20","21",0.983027517703962
"MCDIp","20","22",0.967418318450844
"MCDIp","20","23",0.956613155915668
"MCDIp","20","24",0.932726363205802
"MCDIp","20","25",0.912215244426528
"MCDIp","20","26",0.891752256097597
"MCDIp","20","27",0.883017193626912
"MCDIp","20","28",0.805524919337363
"MCDIp","20","29",0.840036433700392
"MCDIp","20","30",0.765920340258054
"MCDIp","21","16",0.858564985974403
"MCDIp","21","17",0.906394038713214
"MCDIp","21","18",0.960752662547341
"MCDIp","21","19",0.979448592742577
"MCDIp","21","20",0.983027517703962
"MCDIp","21","21",1
"MCDIp","21","22",0.979016472953537
"MCDIp","21","23",0.973240952780165
"MCDIp","21","24",0.953868816145715
"MCDIp","21","25",0.938363089168443
"MCDIp","21","26",0.917453823114429
"MCDIp","21","27",0.912038095304229
"MCDIp","21","28",0.842168433881455
"MCDIp","21","29",0.874560604305657
"MCDIp","21","30",0.806124737426522
"MCDIp","22","16",0.810539518390745
"MCDIp","22","17",0.864389984070786
"MCDIp","22","18",0.932608713703287
"MCDIp","22","19",0.95817659549072
"MCDIp","22","20",0.967418318450844
"MCDIp","22","21",0.979016472953537
"MCDIp","22","22",1
"MCDIp","22","23",0.986993275068284
"MCDIp","22","24",0.978475345554849
"MCDIp","22","25",0.966429285852683
"MCDIp","22","26",0.951420610927212
"MCDIp","22","27",0.948606085296733
"MCDIp","22","28",0.893641964968548
"MCDIp","22","29",0.919588600951913
"MCDIp","22","30",0.864486622875304
"MCDIp","23","16",0.785841568111193
"MCDIp","23","17",0.84507428790826
"MCDIp","23","18",0.917109458364479
"MCDIp","23","19",0.947194254867193
"MCDIp","23","20",0.956613155915668
"MCDIp","23","21",0.973240952780165
"MCDIp","23","22",0.986993275068284
"MCDIp","23","23",1
"MCDIp","23","24",0.984931408350217
"MCDIp","23","25",0.977866879882497
"MCDIp","23","26",0.964412053260058
"MCDIp","23","27",0.960343469727825
"MCDIp","23","28",0.91272718938078
"MCDIp","23","29",0.938348905240358
"MCDIp","23","30",0.887259349922544
"MCDIp","24","16",0.746048946636981
"MCDIp","24","17",0.799548288362411
"MCDIp","24","18",0.886652467966786
"MCDIp","24","19",0.922221600271556
"MCDIp","24","20",0.932726363205802
"MCDIp","24","21",0.953868816145715
"MCDIp","24","22",0.978475345554849
"MCDIp","24","23",0.984931408350217
"MCDIp","24","24",1
"MCDIp","24","25",0.992016553323326
"MCDIp","24","26",0.98172282397164
