Age,Word,C_freq,ld,dd,pkc
16,a,27052,0.956000000, 0.199494418,0.093592201
17,a,29285,0.968000000, 0.213608595,0.106970009
18,a,34390,0.974000000, 0.250052665,0.171395295
19,a,38170,0.978000000, 0.270486623,0.220943942
20,a,43287,0.984000000, 0.297872340,0.244035864
21,a,47750,0.986000000, 0.318306299,0.273375512
22,a,51872,0.992000000, 0.342742785,0.379881655
23,a,56252,0.994000000, 0.367389930,0.426612994
24,a,67283,1.000000000, 0.431851696,0.468900206
25,a,73188,1.000000000, 0.456288182,0.521096330
26,a,78986,1.000000000, 0.483463240,0.587025359
27,a,85716,1.000000000, 0.511270276,0.612385799
28,a,92457,1.000000000, 0.562460501,0.728792732
29,a,102787,1.000000000, 0.595323362,0.676430600
30,a,111320,1.000000000, 0.653676006,0.778971667
16,about,2569,0.610000000, 0.150832104,0.071861894
17,about,2784,0.636000000, 0.159047820,0.080998269
18,about,3278,0.678000000, 0.183062987,0.124947602
19,about,3570,0.694000000, 0.194438593,0.170254885
20,about,3899,0.708000000, 0.208552770,0.187348504
21,about,4229,0.732000000, 0.219296398,0.212996816
22,about,4480,0.760000000, 0.232146619,0.321112970
23,about,4704,0.768000000, 0.242890246,0.362171153
24,about,5477,0.784000000, 0.289235307,0.404515912
25,about,5824,0.796000000, 0.302928165,0.454340666
26,about,6142,0.810000000, 0.316410364,0.535299841
27,about,6510,0.812000000, 0.331999157,0.557825546
28,about,6932,0.820000000, 0.353907731,0.682998749
29,about,7562,0.840000000, 0.373077733,0.628656287
30,about,8155,0.862000000, 0.396460923,0.738452112
16,above,23,0.058000000, 0.003370550,0.032011689
17,above,32,0.076000000, 0.004002528,0.045378151
18,above,33,0.080000000, 0.004213187,0.079386626
19,above,33,0.080000000, 0.004213187,0.115553960
20,above,37,0.090000000, 0.004845165,0.149574610
21,above,43,0.110000000, 0.005477143,0.180154821
22,above,46,0.110000000, 0.005898462,0.271024590
23,above,48,0.118000000, 0.006319781,0.325670158
24,above,51,0.126000000, 0.006951759,0.371860682
25,above,51,0.126000000, 0.006951759,0.420732487
26,above,54,0.126000000, 0.007373078,0.499624710
27,above,61,0.128000000, 0.008005056,0.522873245
28,above,66,0.134000000, 0.008637034,0.642567762
29,above,72,0.154000000, 0.009690331,0.593420693
30,above,79,0.158000000, 0.010954287,0.710418744
16,all,4296,0.730000000, 0.171055403,0.063714635
17,all,4593,0.756000000, 0.183484306,0.073494234
18,all,5311,0.774000000, 0.213187276,0.116982309
19,all,5773,0.796000000, 0.229618707,0.158916704
20,all,6294,0.808000000, 0.254055193,0.175970839
21,all,6815,0.832000000, 0.271750579,0.200379298
22,all,7387,0.842000000, 0.291763219,0.306175786
23,all,7933,0.852000000, 0.312618496,0.351594410
24,all,9582,0.876000000, 0.371392458,0.393277858
25,all,10311,0.886000000, 0.388245207,0.443692125
26,all,11025,0.894000000, 0.406572572,0.527253406
27,all,11669,0.904000000, 0.422793343,0.544744553
28,all,12613,0.916000000, 0.458816094,0.674417779
29,all,13904,0.920000000, 0.482620602,0.618898034
30,all,15074,0.922000000, 0.522435222,0.728476913
16,alligator,30,0.072000000, 0.004634506,0.065846394
17,alligator,30,0.072000000, 0.004634506,0.074874278
18,alligator,32,0.078000000, 0.005055825,0.130144365
19,alligator,36,0.082000000, 0.005477143,0.174024097
20,alligator,42,0.082000000, 0.006109122,0.186959275
21,alligator,62,0.108000000, 0.007162418,0.241535695
22,alligator,95,0.136000000, 0.008637034,0.349677419
23,alligator,109,0.150000000, 0.009690331,0.393628361
24,alligator,145,0.192000000, 0.013903518,0.447413241
25,alligator,154,0.208000000, 0.014956815,0.488680085
26,alligator,170,0.226000000, 0.016220771,0.559754829
27,alligator,172,0.228000000, 0.016431430,0.588139655
28,alligator,211,0.258000000, 0.017695387,0.701504128
29,alligator,255,0.288000000, 0.020223299,0.644504253
30,alligator,271,0.292000000, 0.021908574,0.754321508
16,am,246,0.232000000, 0.028649673,0.056509541
17,am,258,0.242000000, 0.030124289,0.064488844
18,am,291,0.260000000, 0.033916158,0.110544380
19,am,326,0.284000000, 0.037708026,0.152122312
20,am,378,0.300000000, 0.041289235,0.168830520
21,am,416,0.312000000, 0.044027807,0.196495102
22,am,443,0.326000000, 0.048451654,0.299095289
23,am,478,0.330000000, 0.052875500,0.350798392
24,am,546,0.366000000, 0.062565831,0.402107242
25,am,624,0.392000000, 0.070360228,0.455772696
26,am,712,0.420000000, 0.078575943,0.535334529
27,am,776,0.442000000, 0.084053086,0.562507726
28,am,842,0.460000000, 0.090794186,0.689095769
29,am,951,0.496000000, 0.101327154,0.635234301
30,am,1053,0.524000000, 0.112070782,0.746405027
16,an,772,0.440000000, 0.079839899,0.081831687
17,an,850,0.470000000, 0.085317042,0.094938629
18,an,1045,0.512000000, 0.101537813,0.150446985
19,an,1187,0.532000000, 0.110385507,0.202644586
20,an,1346,0.550000000, 0.121550453,0.225410072
21,an,1518,0.576000000, 0.131240784,0.256871607
22,an,1742,0.604000000, 0.140509796,0.355854503
23,an,1962,0.626000000, 0.149146830,0.401796787
24,an,2525,0.692000000, 0.187908153,0.442705206
25,an,2738,0.716000000, 0.197809143,0.491901615
26,an,2982,0.734000000, 0.208974089,0.561991058
27,an,3264,0.752000000, 0.221402991,0.590401396
28,an,3644,0.780000000, 0.234253213,0.704075347
29,an,4086,0.796000000, 0.250052665,0.655791274
30,an,4489,0.812000000, 0.265852117,0.756720200
16,and,18234,0.918000000, 0.188750790,0.061101986
17,and,19438,0.924000000, 0.198862439,0.070105553
18,and,22623,0.944000000, 0.231093322,0.113851433
19,and,24413,0.954000000, 0.246471456,0.154431294
20,and,26711,0.956000000, 0.269012008,0.172381672
21,and,28964,0.968000000, 0.286075416,0.199530089
22,and,31374,0.974000000, 0.305666737,0.301996808
23,and,33917,0.978000000, 0.323362123,0.346819138
24,and,41385,0.988000000, 0.383400042,0.387746098
25,and,44475,0.988000000, 0.403202022,0.438687503
26,and,47810,0.992000000, 0.423425321,0.519014612
27,and,50829,0.994000000, 0.445123236,0.545000133
28,and,54826,0.994000000, 0.488940383,0.667621457
29,and,60256,0.996000000, 0.517168738,0.620381599
30,and,64650,0.996000000, 0.567516326,0.727835298
16,animal,205,0.216000000, 0.028228355,0.070800403
17,animal,223,0.228000000, 0.030124289,0.079731380
18,animal,275,0.252000000, 0.035812092,0.123052386
19,animal,306,0.262000000, 0.038761323,0.169562380
20,animal,329,0.274000000, 0.040446598,0.187365175
21,animal,359,0.294000000, 0.043395829,0.213757699
22,animal,412,0.328000000, 0.046766379,0.312070601
23,animal,441,0.342000000, 0.048662313,0.360667618
24,animal,573,0.384000000, 0.063197809,0.396871831
25,animal,608,0.400000000, 0.066147040,0.446603334
26,animal,641,0.420000000, 0.068464293,0.525889310
27,animal,689,0.440000000, 0.072045502,0.558371685
28,animal,728,0.454000000, 0.075205393,0.675043033
29,animal,818,0.470000000, 0.080893196,0.627850298
30,animal,848,0.480000000, 0.084685064,0.736293131
16,ankle,4,0.006000000, 0.000421319,0.079149233
17,ankle,4,0.006000000, 0.000421319,0.090354090
18,ankle,5,0.010000000, 0.000631978,0.224886878
19,ankle,5,0.010000000, 0.000631978,0.281345566
20,ankle,7,0.022000000, 0.001053297,0.194596158
21,ankle,8,0.028000000, 0.001263956,0.234693878
22,ankle,9,0.030000000, 0.001474616,0.361000000
23,ankle,15,0.048000000, 0.001895934,0.432159567
24,ankle,23,0.072000000, 0.002738572,0.462700200
25,ankle,27,0.080000000, 0.003159890,0.496586075
26,ankle,27,0.080000000, 0.003159890,0.571309912
27,ankle,28,0.084000000, 0.003370550,0.596902877
28,ankle,29,0.088000000, 0.003581209,0.731183969
29,ankle,31,0.092000000, 0.004002528,0.670945567
30,ankle,33,0.092000000, 0.004213187,0.782192090
16,another,1111,0.536000000, 0.093532758,0.107529572
17,another,1250,0.558000000, 0.098167264,0.118127563
18,another,1429,0.596000000, 0.114177375,0.188322859
19,another,1657,0.616000000, 0.126184959,0.238079815
20,another,1968,0.656000000, 0.141984411,0.257152498
21,another,2182,0.680000000, 0.152096061,0.284929462
22,another,2386,0.692000000, 0.163471666,0.389492343
23,another,2631,0.706000000, 0.173583316,0.435811163
24,another,3133,0.762000000, 0.205603539,0.477465057
25,another,3556,0.784000000, 0.216979145,0.527598364
26,another,3904,0.794000000, 0.229829366,0.592551316
27,another,4259,0.808000000, 0.243732884,0.613908776
28,another,4664,0.818000000, 0.264588161,0.733634734
29,another,5188,0.842000000, 0.283126185,0.678525916
30,another,5606,0.844000000, 0.308826627,0.779594406
16,ant,14,0.052000000, 0.001053297,0.073443641
17,ant,27,0.078000000, 0.001685275,0.066620879
18,ant,31,0.080000000, 0.002106594,0.120351589
19,ant,41,0.082000000, 0.002949231,0.159417248
20,ant,49,0.092000000, 0.004213187,0.191466993
21,ant,56,0.098000000, 0.004845165,0.206423645
22,ant,68,0.116000000, 0.006319781,0.318225806
23,ant,74,0.122000000, 0.006951759,0.366990516
24,ant,100,0.140000000, 0.008426375,0.407619766
25,ant,102,0.142000000, 0.008637034,0.462390449
26,ant,106,0.146000000, 0.008847693,0.548215977
27,ant,117,0.168000000, 0.009900990,0.571765086
28,ant,119,0.172000000, 0.010322309,0.698839398
29,ant,142,0.190000000, 0.011375606,0.641429040
30,ant,149,0.190000000, 0.012007584,0.755668441
16,any,1708,0.428000000, 0.100063198,0.054838492
17,any,1743,0.442000000, 0.105329682,0.060071008
18,any,1975,0.472000000, 0.122182431,0.095421542
19,any,2048,0.488000000, 0.128502212,0.135039120
20,any,2124,0.500000000, 0.135875290,0.150679476
21,any,2243,0.516000000, 0.143459027,0.176710610
22,any,2352,0.538000000, 0.150621445,0.272035419
23,any,2430,0.542000000, 0.157151885,0.315299334
24,any,2987,0.574000000, 0.192963977,0.349098259
25,any,3130,0.586000000, 0.203286286,0.403837562
26,any,3253,0.598000000, 0.211923320,0.486665366
27,any,3374,0.620000000, 0.222877607,0.510776285
28,any,3546,0.636000000, 0.235727828,0.631907419
29,any,3806,0.654000000, 0.251737940,0.591191991
30,any,3982,0.668000000, 0.267537392,0.696067349
16,apple,548,0.420000000, 0.031809564,0.177677269
17,apple,636,0.458000000, 0.039814620,0.187548563
18,apple,814,0.500000000, 0.050768907,0.289024209
19,apple,972,0.536000000, 0.058984622,0.342048773
20,apple,1187,0.558000000, 0.069096271,0.349323434
21,apple,1339,0.576000000, 0.078365283,0.381098859
22,apple,1593,0.606000000, 0.087002317,0.486763515
23,apple,1823,0.646000000, 0.095850011,0.527522865
24,apple,2032,0.670000000, 0.110385507,0.555434938
25,apple,2116,0.678000000, 0.115230672,0.597351022
26,apple,2188,0.686000000, 0.119865178,0.660763511
27,apple,2263,0.694000000, 0.124499684,0.677809421
28,apple,2402,0.704000000, 0.128923531,0.781986472
29,apple,2521,0.712000000, 0.134821993,0.728357776
30,apple,2827,0.724000000, 0.156098589,0.823138576
16,are,8364,0.804000000, 0.182220350,0.065983738
