"predictor","age1","age2","correlation"
"MCDIp","18","16",0.962658401261364
"MCDIp","18","17",0.982962477719554
"MCDIp","18","18",1
"MCDIp","18","19",0.979840113291709
"MCDIp","18","20",0.973698468052942
"MCDIp","18","21",0.954495053559105
"MCDIp","18","22",0.926056542603398
"MCDIp","18","23",0.889872253679493
"MCDIp","18","24",0.864772818251767
"MCDIp","18","25",0.82947152244746
"MCDIp","18","26",0.81503490135784
"MCDIp","18","27",0.801894742418922
"MCDIp","18","28",0.703544341855824
"MCDIp","18","29",0.743354401681277
"MCDIp","18","30",0.71225411572919
"MCDIp","21","16",0.877319687439665
"MCDIp","21","17",0.914830753375236
"MCDIp","21","18",0.954495053559105
"MCDIp","21","19",0.983505746429392
"MCDIp","21","20",0.988996930861007
"MCDIp","21","21",1
"MCDIp","21","22",0.985834973408415
"MCDIp","21","23",0.972181268177242
"MCDIp","21","24",0.960140985934975
"MCDIp","21","25",0.938962960391091
"MCDIp","21","26",0.927711003255036
"MCDIp","21","27",0.916461798465791
"MCDIp","21","28",0.844518102473555
"MCDIp","21","29",0.870399455952948
"MCDIp","21","30",0.841830287769989
"MCDIp","24","16",0.764060863196302
"MCDIp","24","17",0.807204578372918
"MCDIp","24","18",0.864772818251767
"MCDIp","24","19",0.927976400655117
"MCDIp","24","20",0.939225417961645
"MCDIp","24","21",0.960140985934975
"MCDIp","24","22",0.979024037408904
"MCDIp","24","23",0.992808228543207
"MCDIp","24","24",1
"MCDIp","24","25",0.990917991377983
"MCDIp","24","26",0.987594519319089
"MCDIp","24","27",0.980284945067827
"MCDIp","24","28",0.942261836431015
"MCDIp","24","29",0.957639370647847
"MCDIp","24","30",0.939616683639008
"MCDIp","27","16",0.69838071739325
"MCDIp","27","17",0.740705013657359
"MCDIp","27","18",0.801894742418922
"MCDIp","27","19",0.873896402618042
"MCDIp","27","20",0.888542727412815
"MCDIp","27","21",0.916461798465791
"MCDIp","27","22",0.945846061243603
"MCDIp","27","23",0.966874337555601
"MCDIp","27","24",0.980284945067827
"MCDIp","27","25",0.985963654525789
"MCDIp","27","26",0.990307848757778
"MCDIp","27","27",1
"MCDIp","27","28",0.970643455304266
"MCDIp","27","29",0.981823622066914
"MCDIp","27","30",0.972785994921158
"MCDIp","30","16",0.611620167860347
"MCDIp","30","17",0.651255816825165
"MCDIp","30","18",0.71225411572919
"MCDIp","30","19",0.791489227466732
"MCDIp","30","20",0.805770456465472
"MCDIp","30","21",0.841830287769989
"MCDIp","30","22",0.879790132126181
"MCDIp","30","23",0.917020373250241
"MCDIp","30","24",0.939616683639008
"MCDIp","30","25",0.95229475349912
"MCDIp","30","26",0.963707906801105
"MCDIp","30","27",0.972785994921158
"MCDIp","30","28",0.972509273274875
"MCDIp","30","29",0.990596954249459
"MCDIp","30","30",1
"log_FQ","18","16",0.992477061153564
"log_FQ","18","17",0.9963460045758
"log_FQ","18","18",1
"log_FQ","18","19",0.997960752398297
"log_FQ","18","20",0.995685099839723
"log_FQ","18","21",0.993454395693698
"log_FQ","18","22",0.990875554619777
"log_FQ","18","23",0.988607026295969
"log_FQ","18","24",0.980571408660263
"log_FQ","18","25",0.978328274698439
"log_FQ","18","26",0.976699474815711
"log_FQ","18","27",0.97398523889852
"log_FQ","18","28",0.97011310447943
"log_FQ","18","29",0.967304422485526
"log_FQ","18","30",0.965212600538835
"log_FQ","21","16",0.983835314396949
"log_FQ","21","17",0.988628862163018
"log_FQ","21","18",0.993454395693698
"log_FQ","21","19",0.996508412980968
"log_FQ","21","20",0.998821535017318
"log_FQ","21","21",1
"log_FQ","21","22",0.998311289252186
"log_FQ","21","23",0.996983497678206
"log_FQ","21","24",0.989340171209952
"log_FQ","21","25",0.988317163044499
"log_FQ","21","26",0.987552771250124
"log_FQ","21","27",0.985649277558314
"log_FQ","21","28",0.982817939701679
"log_FQ","21","29",0.981048719134992
"log_FQ","21","30",0.979560657773475
"log_FQ","24","16",0.969047220666707
